"ID","Player","Team","Position","Rookie","RkOv","Status","Opponent","FPts","FP/G","FG-","3PTM","FT-","PTS","REB","AST","ST","BLK","TO","3D","2D"
"*03e75*","Nikola Jokic","DEN","C","","1","FA","","1998.36","28.55","7.8","1.1","1.0","27.1","12.9","9.1","1.3","0.9","3.1","0.0","0"
"*04kj6*","Luka Doncic","LAL","PG,SG,G","","2","FA","","1988.7","28.41","11.8","3.9","1.8","32.7","9.3","9.8","1.4","0.5","4.0","0.0","0"
"*031m2*","Giannis Antetokounmpo","MIA","PF,F,C","","3","FA","","1855.98","26.51","7.2","0.5","3.6","29.9","11.7","6.5","1.2","1.1","3.4","0.0","0"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG,G","","4","FA","@SA Tue 6:30PM","1615.95","23.09","9.1","1.3","1.1","29.1","5.5","6.0","2.1","0.8","2.2","0.0","0"
"*05uie*","Scottie Barnes","TOR","SF,PF,F,C","","5","FA","","1509.68","18.87","7.7","1.4","0.8","18.4","7.8","5.8","1.2","1.4","2.6","0.0","0"
"*06cch*","Victor Wembanyama","SA","C","","6","FA","OKC Tue 6:30PM","1489.02","22.91","8.8","1.9","1.1","21.8","10.9","4.3","1.3","3.7","3.8","0.0","0"
"*02nf1*","Anthony Davis","WAS","PF,F,C","","7","FA","","1476.35","22.71","6.9","0.4","1.1","22.5","12.0","3.1","1.1","2.2","1.9","0.0","0"
"*03xmv*","Jayson Tatum","BOS","SF,PF,F","","8","FA","@DET Tue 12:00PM","1469.79","21","10.0","3.0","1.0","26.1","8.0","4.8","1.0","0.6","2.5","0.0","0"
"*042n7*","Domantas Sabonis","SAC","PF,F,C","","9","FA","","1455.16","20.79","4.6","0.3","1.2","16.5","12.1","7.1","0.8","0.5","2.8","0.0","0"
"*05qug*","Anthony Edwards","MIN","SG,G,SF,F","","10","FA","","1421.25","18.95","10.7","2.4","1.0","25.5","5.5","5.2","1.3","0.6","3.0","0.0","0"
"*06ca8*","Amen Thompson","HOU","PG,SG,G,SF,PF,F","","11","FA","","1416.53","18.89","5.5","0.4","1.2","15.6","10.7","4.0","2.1","1.0","2.3","0.0","0"
"*03nwm*","Devin Booker","PHO","PG,SG,G,SF,F","","12","FA","","1413.37","20.19","9.5","2.2","0.7","26.5","4.6","7.0","0.9","0.4","2.6","0.0","0"
"*04qrk*","Trae Young","WAS","PG,G","","13","FA","","1391.88","19.88","10.3","3.2","1.0","24.6","2.6","10.4","1.4","0.2","4.2","0.0","0"
"*04ewf*","Bam Adebayo","MIA","PF,F,C","","14","FA","","1391.62","18.55","6.5","0.2","1.3","18.2","10.4","3.8","1.1","0.9","2.2","0.0","0"
